"func","pack","navn","description","keyword","url","pack_url"
"add_constraint","sadashboard","Add a constraint to a constraint data frame object and open for editing.","Legger til en opsjon(kolonne) i spesifikasjonsfil objektet og åpner det for redigering med R-pakken DataEditR","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-sadashboard/reference/add_constraint.html","https://github.com/statisticsnorway/ssb-sadashboard/"
"AggrSml2NumVar","Kostra","Aggregated comparison of two numerical variables","Calculating aggregated values for two numerical variables, useful for comparison of the variables","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/AggrSml2NumVar.html","https://github.com/statisticsnorway/Kostra/"
"CalcInd","SSBpris","Calculation of the estimate for a price index","Calculation of a price index","rfunc indeksberegning 5.6 5.7","https://statisticsnorway.github.io/ssb-pris/reference/CalcInd.html","https://github.com/statisticsnorway/SSBpris/"
"CalcIndS2","SSBpris","Calculation of variance/sigma squared for price index","Calculation of sigma squared for a price index.","rfunc indeksberegning usikkerhetsberegning 5.6 5.7","https://statisticsnorway.github.io/ssb-pris/reference/CalcIndS2.html","https://github.com/statisticsnorway/SSBpris/"
"CalibrateSSB","CalibrateSSB","Calibration weighting and estimation","Compute weights by calibration and corresponding estimates, totals and residuals","rfunc vektberegning usikkerhetsberegning designbasert 5.6","https://rdrr.io/cran/CalibrateSSB/man/CalibrateSSB.html","https://cran.r-project.org/web/packages/CalibrateSSB/index.html"
"confront","validate","Confront data with a (set of) expressionset(s)","An expressionset is a general class storing rich expressions (basically expressions and some meta data) which we call 'rules'. Examples of expressionset implementations are 'validator' objects, storing validation rules and 'indicator' objects, storing data quality indicators. The 'confront' function evaluates the expressions one by one on a dataset while recording some process meta data. All results are stored in a (subclass of a) 'confrontation' object.","rfunc kontrollere regelbasert 5.3","https://rdrr.io/cran/validate/man/confront.html","https://cran.r-project.org/web/packages/validate/index.html"
"CountVectorizer","sklearn.feature_extraction.text","Count vectorizer","Convert a collection of text documents to a matrix of token counts.","python strukturere maskinlaering 5.2","https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.text.CountVectorizer.html","https://scikit-learn.org/stable/index.html"
"Diff2NumVar","Kostra","Difference between two numerical variables","Calculating the difference between two numerical variables Listing units with big difference, either the k units with the biggest absolute difference, or units with a absolute difference greater than a threshold Only units with value on both variables are used in the calculations","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/Diff2NumVar.html","https://github.com/statisticsnorway/Kostra/"
"e.calibrate","ReGenesees","Calibration of Survey Weights","Adds to an 'analytic' object the calibrated weights column.","rfunc vektberegning 5.6 5.7","https://diegozardetto.github.io/ReGenesees/reference/e.calibrate.html","https://github.com/statisticsnorway/ReGenesees/"
"e.svydesign","ReGenesees","Specification of a Complex Survey Design","Binds survey data and sampling design metadata.","rfunc vektberegning 5.6","https://diegozardetto.github.io/ReGenesees/reference/e.svydesign.html","https://github.com/statisticsnorway/ReGenesees/"
